,Date,Datetime,Surface Temperature (kelvin),Surface Temperature (Celcius),Power,Confidence,Latitude,Longitude
250,2017-09-23,2017-09-23T12:47:12,358.0,84,118.0,100,-37.399,148.08100000000002
251,2017-09-23,2017-09-23T12:47:12,352.9,79,101.9,100,-37.400999999999996,148.067
252,2017-09-23,2017-09-23T04:59:18,308.6,35,40.9,50,-36.984,148.25
253,2017-09-23,2017-09-23T04:59:13,333.4,60,229.4,88,-37.335,148.064
254,2017-09-23,2017-09-23T04:59:13,309.3,36,37.0,61,-37.347,148.019
255,2017-09-23,2017-09-23T04:59:11,333.6,60,206.2,87,-37.569,148.024
256,2017-09-23,2017-09-23T04:59:11,323.6,50,115.8,80,-37.585,148.032
257,2017-09-23,2017-09-23T04:59:10,321.1,47,102.1,77,-37.586,148.03799999999998
258,2017-09-23,2017-09-23T03:21:28,313.7,40,60.7,70,-36.996,148.22799999999998
259,2017-09-23,2017-09-23T03:21:28,310.5,37,41.3,56,-36.995,148.268
260,2017-09-23,2017-09-23T03:21:19,310.9,37,29.2,63,-37.554,148.07299999999998
261,2017-09-23,2017-09-23T03:21:19,317.8,44,69.6,74,-37.564,147.99200000000002
262,2017-09-22,2017-09-22T04:17:10,318.3,45,11.6,71,-36.012,141.341
263,2017-09-21,2017-09-21T05:11:47,312.7,39,51.0,73,-37.227,142.138
264,2017-09-21,2017-09-21T05:11:46,315.4,42,60.2,76,-37.228,142.14600000000002
265,2017-09-20,2017-09-20T04:29:03,317.8,44,14.7,78,-37.235,142.153
266,2017-09-20,2017-09-20T04:29:03,333.9,60,32.9,89,-37.246,142.143
267,2017-09-20,2017-09-20T04:29:03,385.8,112,180.1,100,-37.236999999999995,142.141
268,2017-09-20,2017-09-20T04:29:03,316.0,42,13.4,73,-37.238,142.13
269,2017-09-20,2017-09-20T04:28:45,333.5,60,33.0,88,-38.001999999999995,144.514
270,2017-09-10,2017-09-10T04:00:00,327.2,54,26.4,80,-34.2695,142.2025
271,2017-09-10,2017-09-10T03:53:00,331.8,58,33.6,84,-34.2838,142.204
272,2017-09-10,2017-09-10T03:50:30,333.7,60,36.5,86,-34.2803,142.1964
273,2017-09-10,2017-09-10T03:50:10,327.9,54,28.2,81,-34.2782,142.2253
274,2017-08-14,2017-08-14T04:15:40,312.8,39,15.2,56,-37.4421,148.259
275,2017-08-14,2017-08-14T04:11:00,314.3,41,15.9,61,-38.0173,144.0571
276,2017-08-14,2017-08-14T04:10:20,317.0,43,20.0,67,-37.4754,148.161
277,2017-08-14,2017-08-14T04:09:30,314.3,41,16.6,61,-37.443000000000005,147.3064
278,2017-08-14,2017-08-14T04:07:50,313.5,40,17.6,58,-37.7836,143.9688
279,2017-08-13,2017-08-13T05:13:30,314.3,41,13.0,54,-34.848,141.5002
280,2017-08-13,2017-08-13T05:08:00,335.3,62,41.3,87,-34.7919,141.6231
281,2017-08-13,2017-08-13T05:06:10,319.1,45,18.3,71,-34.8421,141.5266
282,2017-08-13,2017-08-13T05:05:10,327.1,53,28.5,80,-34.7872,141.6164
283,2017-08-13,2017-08-13T05:05:00,315.3,42,14.5,63,-34.8425,141.4933
284,2017-08-13,2017-08-13T05:03:10,315.3,42,14.0,63,-34.793,141.5898
285,2017-08-13,2017-08-13T05:03:00,324.1,50,24.9,77,-34.8006,141.6209
286,2017-08-13,2017-08-13T05:02:40,324.1,50,24.8,77,-34.7979,141.5966
287,2017-08-13,2017-08-13T05:02:30,329.7,56,32.8,83,-34.8368,141.5197
288,2017-08-10,2017-08-10T04:32:00,337.1,63,47.5,74,-37.5537,141.9264
289,2017-08-05,2017-08-05T04:20:10,313.8,40,19.7,59,-37.8519,147.2555
290,2017-08-02,2017-08-02T03:45:40,360.2,87,103.1,94,-37.4796,141.9403
291,2017-08-02,2017-08-02T03:45:00,313.2,40,20.4,54,-37.491,141.936
292,2017-08-01,2017-08-01T00:20:30,338.2,65,54.6,89,-38.3998,147.064
293,2017-08-01,2017-08-01T00:19:30,324.5,51,33.7,78,-38.3982,147.0509
294,2017-07-31,2017-07-31T13:21:00,324.5,51,38.8,100,-37.8641,143.4276
295,2017-07-31,2017-07-31T13:21:00,316.7,43,29.5,92,-37.8658,143.4162
296,2017-07-29,2017-07-29T04:07:50,323.4,50,26.0,76,-37.8475,147.2512
297,2017-07-29,2017-07-29T04:07:50,319.6,46,21.7,71,-37.8565,147.2532
298,2017-07-14,2017-07-14T04:58:10,315.2,42,24.4,63,-38.5194,143.4522
299,2017-07-14,2017-07-14T04:50:20,314.5,41,23.6,61,-38.5233,143.433
300,2017-07-06,2017-07-06T04:08:00,329.9,56,40.2,83,-37.8662,143.4082
301,2017-07-06,2017-07-06T04:02:00,342.2,69,60.6,91,-37.8644,143.4263
302,2017-07-06,2017-07-06T04:02:00,316.6,43,24.0,66,-37.8757,143.428
303,2017-07-05,2017-07-05T23:44:00,318.2,45,27.6,69,-38.4031,147.0701
304,2017-07-04,2017-07-04T04:14:00,313.2,40,21.2,57,-37.8067,141.7598
305,2017-07-02,2017-07-02T04:29:18,325.3,52,24.4,84,-36.397,142.254
306,2017-07-02,2017-07-02T04:29:18,325.3,52,24.4,84,-36.397,142.254
307,2017-07-02,2017-07-02T04:29:10,309.8,36,12.6,69,-37.067,141.379
308,2017-07-02,2017-07-02T04:29:10,309.8,36,12.6,69,-37.067,141.379
309,2017-07-02,2017-07-02T04:29:00,332.1,58,34.8,88,-37.333,143.534
